,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
US,UNITED STATES,PALO VERDE-3,"Maricopa County, AZ",Operational,1414,3990,84.4,91.4,33.38917,-112.865,260.9,PRIS,Map
ZA,SOUTH AFRICA,KOEBERG-1,Cape Town,Operational,970,2775,70.6,65.3,-33.676444,18.4320472,48.5,PRIS,Map
ZA,SOUTH AFRICA,KOEBERG-2,Cape Town,Operational,970,2775,71.2,69.3,-33.676444,18.4320472,48.5,PRIS,Map
CN,CHINA,TIANWAN-1,Jiangsu,Operational,1060,3000,85.4,89.6,34.68694,119.45972,238.3,PRIS,Map
CN,CHINA,TIANWAN-2,Jiangsu,Operational,1060,3000,88.4,91.1,34.68694,119.45972,238.3,PRIS,Map
CN,CHINA,QINSHAN 3-2,Zhejiang,Operational,728,2064,92.3,91.7,30.43306,120.95,10.5,PRIS,Map
JP,JAPAN,HIGASHI DORI 1 (TOHOKU),"Shimokita District, Aomori Prefecture",Operational,1100,3293,42,0,41.18806,141.39028,98.1,PRIS,Map
JP,JAPAN,SHIKA-2,"Hakui District, Ishikawa Prefecture",Operational,1206,3926,26.8,0,37.06111,136.72639,56.8,PRIS,Map
JP,JAPAN,HAMAOKA-5,Shizuoka Prefecture,Operational,1380,3926,27.8,0,34.62361,138.1425,41.8,PRIS,Map
IN,INDIA,KUDANKULAM-1,"Tirunelveli, Tamil Nadu",Operational,1000,3000,40,40,8.16889,77.7125,-63.9,PRIS,Map
IN,INDIA,KUDANKULAM-2,"Tirunelveli, Tamil Nadu",Under Construction,1000,3000,0,0,8.16889,77.7125,-63.9,PRIS,Map
JP,JAPAN,TOMARI-3,"Furuu District, Hokkaido Prefecture",Operational,912,2660,37.8,0,43.03611,140.5125,125.5,PRIS,Map
IN,INDIA,PFBR,"Kanchipuram, Tamil Nadu",Under Construction,500,1253,0,0,12.55306,80.17333,-91.6,PRIS,Map
FI,FINLAND,OLKILUOTO-3,Eurajoki,Under Construction,1720,4300,0,0,61.23694,21.44083,18.9,PRIS,Map
JP,JAPAN,SHIMANE-3,Shimane Prefecture,Under Construction,1373,3926,0,0,35.53833,132.99917,140.1,PRIS,Map
KR,SOUTH KOREA,SHIN-KORI-1,Busan,Operational,1049,2825,74.9,86.4,35.319904,129.290053,32.6,PRIS,Map
KR,SOUTH KOREA,SHIN-KORI-2,Busan,Operational,1046,2825,76.5,84.9,35.319904,129.290053,32.6,PRIS,Map
JP,JAPAN,OHMA,"Shimokita District, Aomori Prefecture",Under Construction,1383,3926,0,0,41.50972,140.91028,34.0,PRIS,Map
FR,FRANCE,FLAMANVILLE-3,Manche,Under Construction,1650,4300,0,0,49.53639,-1.88167,40.6,PRIS,Map
CN,CHINA,LINGAO-4,Guangdong,Operational,1080,2905,86.9,89.5,22.6047889,114.5514889,-3.4,PRIS,Map
CN,CHINA,QINSHAN 2-3,Zhejiang,Operational,660,1930,90.2,90.9,30.43306,120.95,10.5,PRIS,Map
CN,CHINA,QINSHAN 2-4,Zhejiang,Operational,660,1930,91.2,90.7,30.43306,120.95,10.5,PRIS,Map
CN,CHINA,LINGAO-3,Guangdong,Operational,1080,2905,82.7,89,22.6047889,114.5514889,-3.4,PRIS,Map
CN,CHINA,SANMEN-1,Zhejiang,Under Construction,1250,3400,0,0,29.10111,121.64194,13.5,PRIS,Map
CN,CHINA,SANMEN-2,Zhejiang,Under Construction,1250,3400,0,0,29.10111,121.64194,13.5,PRIS,Map
CN,CHINA,YANGJIANG-1,Guangdong,Operational,1086,2905,100.5,100.5,21.70833,112.26111,-8.1,PRIS,Map
CN,CHINA,YANGJIANG-2,Guangdong,Operational,1080,2905,0,0,21.70833,112.26111,-8.1,PRIS,Map
KR,SOUTH KOREA,SHIN-WOLSONG-1,Gyeongsangbuk-do,Operational,1045,2825,72.4,71.2,35.71667,129.47778,106.0,PRIS,Map
KR,SOUTH KOREA,SHIN-WOLSONG-2,Gyeongsangbuk-do,Operational,1045,2825,100,100,35.71667,129.47778,106.0,PRIS,Map
KR,SOUTH KOREA,SHIN-KORI-3,Busan,Operational,1400,3983,0,0,35.319904,129.290053,32.6,PRIS,Map
KR,SOUTH KOREA,SHIN-KORI-4,Busan,Under Construction,1400,3938,0,0,35.319904,129.290053,32.6,PRIS,Map
KR,SOUTH KOREA,SHIN-HANUL-1,Gyeongsangbuk-do,Under Construction,1400,3938,0,0,37.09278,129.38361,83.6,PRIS,Map
KR,SOUTH KOREA,SHIN-HANUL-2,Gyeongsangbuk-do,Under Construction,1400,3983,0,0,37.09278,129.38361,83.6,PRIS,Map
US,UNITED STATES,SHIPPINGPORT,"Beaver County, PA",Permanent Shutdown,68,236,0,0,40.62111,-80.43528,266.4,PRIS,Map
US,UNITED STATES,HALLAM,"Buda, NE",Permanent Shutdown,84,256,0,0,40.55925,-96.7847111,398.4,PRIS,Map
US,UNITED STATES,SAXTON,"Liberty Township, PA",Permanent Shutdown,3,24,0,0,40.22694,-78.24194,328.9,PRIS,Map
US,UNITED STATES,GE VALLECITOS,"Alameda County, CA",Permanent Shutdown,24,50,0,0,37.6132667,-121.8401639,231.6,PRIS,Map
US,UNITED STATES,PIQUA,"Springcreek Township, OH",Permanent Shutdown,12,46,0,0,40.1323167,-84.2347667,255.3,PRIS,Map
RU,RUSSIA,AKADEMIK LOMONOSOV-1,UNKNOWN LOCATION,Under Construction,38,150,0,0,52.92028,158.42472,189.8,PRIS,Map
RU,RUSSIA,AKADEMIK LOMONOSOV-2,UNKNOWN LOCATION,Under Construction,38,150,0,0,52.92028,158.42472,189.8,PRIS,Map
RU,RUSSIA,NOVOVORONEZH 2-1,"g. Novovoronezh, Voronezhskaya oblast",Under Construction,1199,3200,0,0,51.275,39.2,122.6,PRIS,Map
RU,RUSSIA,NOVOVORONEZH 2-2,"g. Novovoronezh, Voronezhskaya oblast",Under Construction,1199,3200,0,0,51.275,39.2,122.6,PRIS,Map
RU,RUSSIA,LENINGRAD 2-1,"g. Sosnovyy Bor, Leningradskaya oblast",Under Construction,1170,3200,0,0,59.84722,29.04361,32.7,PRIS,Map
RU,RUSSIA,LENINGRAD 2-2,"g. Sosnovyy Bor, Leningradskaya oblast",Under Construction,1170,3200,0,0,59.84722,29.04361,32.7,PRIS,Map
CN,CHINA,HONGYANHE-1,Liaoning,Operational,1119,2905,79.2,65.6,39.79583,121.48056,19.9,PRIS,Map
CN,CHINA,HONGYANHE-2,Liaoning,Operational,1119,2905,72.5,72.5,39.79583,121.48056,19.9,PRIS,Map
CN,CHINA,HONGYANHE-3,Liaoning,Operational,1119,2905,0,0,39.79583,121.48056,19.9,PRIS,Map
CN,CHINA,HONGYANHE-4,Liaoning,Under Construction,1080,2905,0,0,39.79583,121.48056,19.9,PRIS,Map
CN,CHINA,HAIYANG-1,Shandong,Under Construction,1250,3451,0,0,36.7083,121.383,4.4,PRIS,Map
CN,CHINA,HAIYANG-2,Shandong,Under Construction,1250,3415,0,0,36.7083,121.383,4.4,PRIS,Map
CN,CHINA,FANGJIASHAN-1,Zhejiang,Operational,1080,2905,0,0,30.441342,120.941758,11.8,PRIS,Map
CN,CHINA,FANGJIASHAN-2,Zhejiang,Operational,1080,2905,0,0,30.441342,120.941758,11.8,PRIS,Map
CN,CHINA,FUQING-1,Fujian,Operational,1080,2905,109,109,25.44583,119.44722,12.1,PRIS,Map
CN,CHINA,FUQING-2,Fujian,Operational,1080,2905,0,0,25.44583,119.44722,12.1,PRIS,Map
CN,CHINA,TAISHAN-1,Guangdong,Under Construction,1750,4590,0,0,21.91778,112.98194,82.5,PRIS,Map
CN,CHINA,TAISHAN-2,Guangdong,Under Construction,1750,4590,0,0,21.91778,112.98194,82.5,PRIS,Map
CN,CHINA,NINGDE-1,Fujian,Operational,1080,2905,73.8,56.6,27.04444,120.28333,48.3,PRIS,Map
CN,CHINA,NINGDE-2,Fujian,Operational,1080,2905,97.6,97.6,27.04444,120.28333,48.3,PRIS,Map
CN,CHINA,NINGDE-3,Fujian,Operational,1080,2905,0,0,27.04444,120.28333,48.3,PRIS,Map
CN,CHINA,NINGDE-4,Fujian,Under Construction,1080,2905,0,0,27.04444,120.28333,11.5,PRIS,Map
CN,CHINA,YANGJIANG-3,Guangdong,Operational,1080,2905,0,0,21.70833,112.26111,114.1,PRIS,Map
CN,CHINA,YANGJIANG-4,Guangdong,Under Construction,1080,2905,0,0,21.70833,112.26111,114.1,PRIS,Map
CN,CHINA,YANGJIANG-5,Guangdong,Under Construction,1087,2905,0,0,21.70833,112.26111,114.1,PRIS,Map
CN,CHINA,YANGJIANG-6,Guangdong,Under Construction,1087,2905,0,0,21.70833,112.26111,114.1,PRIS,Map
CN,CHINA,FUQING-3,Fujian,Under Construction,1080,2905,0,0,25.44583,119.44722,41.3,PRIS,Map
CN,CHINA,FUQING-4,Fujian,Under Construction,1080,2905,0,0,25.44583,119.44722,41.3,PRIS,Map
CN,CHINA,FUQING-5,Fujian,Under Construction,1087,2905,0,0,25.44583,119.44722,41.3,PRIS,Map
CN,CHINA,FUQING-6,Fujian,Under Construction,1087,2905,0,0,25.44583,119.44722,41.3,PRIS,Map
CN,CHINA,CHANGJIANG-1,Hainan,Operational,650,1930,0,0,19.46075,108.8999167,5.8,PRIS,Map
CN,CHINA,CHANGJIANG-2,Hainan,Under Construction,650,1930,0,0,19.46075,108.8999167,5.8,PRIS,Map
CN,CHINA,FANGCHENGGANG-1,Guangxi,Operational,1080,2905,0,0,21.667,108.567,-17.9,PRIS,Map
CN,CHINA,FANGCHENGGANG-2,Guangxi,Under Construction,1080,2905,0,0,21.667,108.567,-17.9,PRIS,Map
CN,CHINA,FANGCHENGGANG-3,Guangxi,Under Construction,1150,3150,0,0,21.667,108.567,-17.9,PRIS,Map
CN,CHINA,SHIDAO BAY-1,Shandong,Under Construction,211,500,0,0,36.967,122.5,34.4,PRIS,Map
CH,SWITZERLAND,LUCENS,Broye-Vully District,Permanent Shutdown,7,28,0,0,46.69278,6.8275,663.4,PRIS,Map
RU,RUSSIA,BALTIC-1,"Nemanskiy r-n, Kaliningradskaya oblast",Under Construction,1194,3200,0,0,54.93889,22.16111,54.7,PRIS,Map
CN,CHINA,TIANWAN-3,Jiangsu,Under Construction,1060,3000,0,0,34.68694,119.45972,91.3,PRIS,Map
CN,CHINA,TIANWAN-4,Jiangsu,Under Construction,1060,3000,0,0,34.68694,119.45972,91.3,PRIS,Map
CN,CHINA,TIANWAN-5,Jiangsu,Under Construction,1118,2905,0,0,34.68694,119.45972,91.3,PRIS,Map
IN,INDIA,KAKRAPAR-3,"Surat, Maharashtra",Under Construction,700,2166,0,0,21.23861,73.35,-13.4,PRIS,Map
IN,INDIA,KAKRAPAR-4,"Surat, Maharashtra",Under Construction,700,2166,0,0,21.23861,73.35,-13.4,PRIS,Map
CN,CHINA,HONGYANHE-5,Liaoning,Under Construction,1080,2905,0,0,39.79583,121.48056,15.6,PRIS,Map
CN,CHINA,HONGYANHE-6,Liaoning,Under Construction,1080,2905,0,0,39.79583,121.48056,15.6,PRIS,Map
US,UNITED STATES,SUMMER-2,"Fairfield County, SC",Under Construction,1250,3400,0,0,34.29861,-81.31472,77.3,PRIS,Map
US,UNITED STATES,SUMMER-3,"Fairfield County, SC",Under Construction,1250,3400,0,0,34.29861,-81.31472,77.3,PRIS,Map
US,UNITED STATES,VOGTLE-3,"Burke County, GA",Under Construction,1250,3400,0,0,33.14333,-81.76056,16.8,PRIS,Map
US,UNITED STATES,VOGTLE-4,"Burke County, GA",Under Construction,1250,3400,0,0,33.14333,-81.76056,16.8,PRIS,Map
PK,PAKISTAN,CHASNUPP-3,Piplan Tehsil,Under Construction,340,999,0,0,32.39028,71.4625,157.2,PRIS,Map
PK,PAKISTAN,CHASNUPP-4,Piplan Tehsil,Under Construction,340,999,0,0,32.39028,71.4625,157.2,PRIS,Map
CN,CHINA,CEFR,Beijing,Operational,25,65,0,0,39.74083,116.03028,52.2,PRIS,Map
AE,UNITED ARAB EMIRATES,BARAKAH-1,[],Under Construction,1400,3983,0,0,23.9677,52.2315,-31.1,PRIS,Map
AE,UNITED ARAB EMIRATES,BARAKAH-2,[],Under Construction,1400,3983,0,0,23.9677,52.2315,-31.1,PRIS,Map
AE,UNITED ARAB EMIRATES,BARAKAH-3,[],Under Construction,1400,3983,0,0,23.9677,52.2315,-31.1,PRIS,Map
AE,UNITED ARAB EMIRATES,BARAKAH-4,[],Under Construction,1400,3983,0,0,23.9677,52.2315,-31.1,PRIS,Map
AR,ARGENTINA,CAREM25,UNKNOWN LOCATION,Under Construction,29,100,0,0,0,0,-3474.8,PRIS,Map
BY,BELARUS,BELARUSIAN-1,Astravets District,Under Construction,1194,3200,0,0,54.76111,26.08917,195.3,PRIS,Map
BY,BELARUS,BELARUSIAN-2,Astravets District,Under Construction,1194,3200,0,0,54.76111,26.08917,195.3,PRIS,Map
