,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
FR,FRANCE,BLAYAIS-4,Gironde,Operational,951,2785,74.7,56.7,45.25583,-0.69306,49.5,PRIS,Map
FR,FRANCE,PALUEL-1,Seine-Maritime,Operational,1382,3817,71.9,85.4,49.85806,0.63556,86.9,PRIS,Map
FR,FRANCE,PALUEL-2,Seine-Maritime,Operational,1382,3817,69.2,34.9,49.85806,0.63556,86.9,PRIS,Map
FR,FRANCE,PALUEL-3,Seine-Maritime,Operational,1382,3817,68.2,55.2,49.85806,0.63556,86.9,PRIS,Map
FR,FRANCE,PALUEL-4,Seine-Maritime,Operational,1382,3817,71.4,75.6,49.85806,0.63556,86.9,PRIS,Map
FR,FRANCE,CHINON A-3,Indre-et-Loire,Permanent Shutdown,480,1170,40.5,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-1,Indre-et-Loire,Operational,954,2785,72.8,73.8,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-2,Indre-et-Loire,Operational,954,2785,73.4,69.3,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CRUAS-1,Ardeche,Operational,956,2785,71.4,45.8,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-2,Ardeche,Operational,956,2785,73.2,69.5,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-3,Ardeche,Operational,956,2785,72.4,78.6,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,CRUAS-4,Ardeche,Operational,956,2785,71.9,80.7,44.63306,4.75667,176.9,PRIS,Map
FR,FRANCE,FLAMANVILLE-1,Manche,Operational,1382,3817,69.6,72.2,49.53639,-1.88167,98.7,PRIS,Map
FR,FRANCE,FLAMANVILLE-2,Manche,Operational,1382,3817,71.1,67.5,49.53639,-1.88167,98.7,PRIS,Map
FR,FRANCE,ST. ALBAN-1,Isere,Operational,1381,3817,67.5,77.4,45.40444,4.75528,193.0,PRIS,Map
FR,FRANCE,ST. ALBAN-2,Isere,Operational,1381,3817,68.4,80.6,45.40444,4.75528,193.0,PRIS,Map
FR,FRANCE,CHOOZ-A (ARDENNES),Ardennes,Permanent Shutdown,320,1040,66.2,0,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,CATTENOM-1,Moselle,Operational,1362,3817,69.8,61.6,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GRAVELINES-5,Nord,Operational,951,2785,76,84.4,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-6,Nord,Operational,951,2785,77.7,85.6,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,CATTENOM-2,Moselle,Operational,1362,3817,73,83.2,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,BELLEVILLE-1,Cher,Operational,1363,3817,71.2,91.1,47.50972,2.875,189.7,PRIS,Map
FR,FRANCE,BELLEVILLE-2,Cher,Operational,1363,3817,72.9,80.7,47.50972,2.875,189.7,PRIS,Map
FR,FRANCE,CHINON B-3,Indre-et-Loire,Operational,954,2785,73.8,72.4,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,CHINON B-4,Indre-et-Loire,Operational,954,2785,75,87.6,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,NOGENT-1,Aube,Operational,1363,3817,72,75.6,48.51528,3.51778,115.1,PRIS,Map
FR,FRANCE,NOGENT-2,Aube,Operational,1363,3817,74,62.3,48.51528,3.51778,115.1,PRIS,Map
FR,FRANCE,EL-4 (MONTS DARREE),Finistere,Permanent Shutdown,75,250,68.7,0,48.3533,-3.8722028,277.0,PRIS,Map
FR,FRANCE,CATTENOM-3,Moselle,Operational,1362,3817,74.6,83,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GOLFECH-1,Tarn-et-Garonne,Operational,1363,3817,76.4,87.7,44.10667,0.84528,104.7,PRIS,Map
FR,FRANCE,CHOOZ B-1,Ardennes,Operational,1560,4270,78.2,86.3,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,PENLY-1,Seine-Maritime,Operational,1382,3817,76.2,87.2,49.97667,1.21194,83.7,PRIS,Map
FR,FRANCE,PENLY-2,Seine-Maritime,Operational,1382,3817,76.6,79,49.97667,1.21194,83.7,PRIS,Map
FR,FRANCE,CATTENOM-4,Moselle,Operational,1362,3817,77.4,91.3,49.41583,6.21806,218.3,PRIS,Map
FR,FRANCE,GOLFECH-2,Tarn-et-Garonne,Operational,1363,3817,75.8,76.3,44.10667,0.84528,104.7,PRIS,Map
FR,FRANCE,ST. LAURENT A-1,Loir-et-Cher,Permanent Shutdown,500,1650,58.6,0,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,CHOOZ B-2,Ardennes,Operational,1560,4270,77,72.3,50.09,4.78944,262.6,PRIS,Map
FR,FRANCE,CIVAUX-1,Vienne,Operational,1561,4270,75.9,88.9,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,CIVAUX-2,Vienne,Operational,1561,4270,75.9,68.1,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,ST. LAURENT A-2,Loir-et-Cher,Permanent Shutdown,530,1475,54.1,0,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,BUGEY-1,Ain,Permanent Shutdown,555,1954,53.2,0,45.79833,5.27083,249.7,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-1,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-2,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-3,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-4,UNKNOWN LOCATION,Permanent Shutdown,60,268,76.9,0,0,0,-3474.8,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-1,"Suffolk Coastal District, Suffolk",Permanent Shutdown,245,1010,74.7,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-2,"Suffolk Coastal District, Suffolk",Permanent Shutdown,245,1010,71.3,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,OLDBURY A-1,South Gloucestershire,Permanent Shutdown,230,730,76.2,0,51.648889,-2.570833,59.7,PRIS,Map
